_url,name,birth_year,weight,height,nationality
matteo-rabottini,Matteo  Rabottini,1987,73.0,190,Italy
cristiano-colleoni,Cristiano  Colleoni,1974,78.0,181,Italy
sergio-higuita,Sergio  Higuita,1997,57.0,166,Colombia
biagio-conte,Biagio  Conte,1968,60.0,176,Italy
patrick-lefevere,Patrick  Lefevere,1955,67.0,185,Belgium
pascal-herve,Pascal  Hervé,1964,62.0,169,France
pasquale-pugliese,Pasquale  Pugliese,1952,65.0,183,Italy
henry-cardenas,Henry  Cárdenas,1965,67.0,174,Colombia
jesus-manzaneque,Jesús  Manzaneque,1943,70.0,180,Spain
jos-op-t-eyndt,Jos Op 't Eyndt,1960,72.0,193,Belgium
angel-castresana,Ángel  Castresana,1972,70.0,178,Spain
jaime-javier-hernandez,Jaime Javier  Hernandez,1972,70.0,177,Spain
franco-ongarato,Franco  Ongarato,1949,73.0,175,Italy
filippo-piersanti,Filippo  Piersanti,1960,68.0,176,Italy
florent-barle,Florent  Barle,1986,72.0,184,France
dominique-gaigne,Dominique  Gaigne,1961,72.0,183,France
bjorn-thurau,Björn  Thurau,1988,73.0,193,Germany
andoni-lafuente,Andoni  Lafuente,1985,60.0,174,Spain
didier-vanoverschelde,Didier  Vanoverschelde,1952,78.0,191,France
louis-meintjes,Louis  Meintjes,1992,58.0,173,South Africa
kai-hundertmarck,Kai  Hundertmarck,1969,72.0,180,Germany
mario-cipollini,Mario  Cipollini,1967,77.0,189,Italy
adriano-pella,Adriano  Pella,1945,62.0,170,Italy
higinio-fernandez,Higinio  Fernandez,1988,63.0,174,Spain
jonathan-dibben,Jonathan  Dibben,1994,78.0,191,Great Britain
steve-speaks,Steve  Speaks,1962,55.0,166,United States
alessandro-varocchi,Alessandro  Varocchi,1972,62.0,181,Italy
dmitry-kozonchuk,Dmitry  Kozontchuk,1984,75.0,187,Russia
fabrice-salanson,Fabrice  Salanson,1979,70.0,184,France
lionel-taminiaux,Lionel  Taminiaux,1996,74.0,173,Belgium
matthias-buxhofer,Matthias  Buxhofer,1973,70.0,185,Austria
patrick-bol,Patrick  Bol,1965,80.0,186,Netherlands
patrick-sercu,Patrick  Sercu,1944,76.0,180,Belgium
leon-paul-menard2,Léon-Paul  Menard,1946,53.0,163,France
eddy-serri,Eddy  Serri,1974,73.0,184,Italy
blake-quick,Blake  Quick,2000,77.0,187,Australia
kiel-reijnen,Kiel  Reijnen,1986,63.0,180,United States
walter-polini,Walter  Polini,1955,85.0,182,Italy
kristof-goddaert,Kristof  Goddaert,1986,72.0,182,Belgium
filippo-conca,Filippo  Conca,1998,80.0,191,Italy
jacinto-paulinho,Jacinto  Paulinho,1953,68.0,178,Portugal
cyrille-monnerais,Cyrille  Monnerais,1983,70.0,175,France
addy-engels,Addy  Engels,1977,64.0,181,Netherlands
herman-van-der-slagmolen,Herman Van der Slagmolen,1948,60.0,178,Belgium
stefano-pirazzi,Stefano  Pirazzi,1987,62.0,180,Italy
cees-rentmeester,Cees  Rentmeester,1947,77.0,187,Netherlands
benjamin-king-1,Ben  King,1989,68.0,183,United States
gabriele-landoni,Gabriele  Landoni,1953,65.0,183,Italy
bruno-huerlimann,Bruno  Huerlimann,1962,65.0,180,Switzerland
antonio-berasategui,Antonio  Berasategui,1978,69.0,176,Spain
lloyd-mondory,Lloyd  Mondory,1982,66.0,175,France
gregory-henderson,Gregory  Henderson,1976,75.0,187,New Zealand
alfredo-chinetti,Alfredo  Chinetti,1949,74.0,184,Italy
dimitri-defauw,Dimitri De Fauw,1981,77.0,182,Belgium
manu-lhoir,Manu  Lhoir,1975,59.0,167,Belgium
jon-odriozola,Jon  Odriozola,1970,70.0,180,Spain
jose-antonio-sanchez-valencia,José Antonio  Sánchez,1965,60.0,175,Spain
marc-de-maar,Marc de Maar,1984,70.0,184,Netherlands
niels-scheuneman,Niels  Scheuneman,1983,75.0,184,Netherlands
tino-conti,Tino  Conti,1945,79.0,177,Italy
karsten-kroon,Karsten  Kroon,1976,67.0,180,Netherlands
steve-morabito,Steve  Morabito,1983,74.0,186,Switzerland
jose-luis-sanchez-de-la-rocha,José Luis  Sánchez,1972,68.0,180,Spain
mario-gonzalez-salas,Mario  González,1992,65.0,182,Spain
alexandre-rodriguez,Alexandre  Rodriguez,1970,62.0,173,Portugal
ion-izagirre,Ion  Izagirre,1989,60.0,173,Spain
geoffrey-bouchard,Geoffrey  Bouchard,1992,63.0,177,France
bernhard-eisel,Bernhard  Eisel,1981,74.0,183,Austria
antonio-cabello-baena,Antonio  Cabello,1990,67.0,179,Spain
richard-parra,Richard Gustavo  Parra,1964,60.0,175,Venezuela
arnaud-coyot,Arnaud  Coyot,1980,76.0,195,France
wim-maessen,Wim  Maessen,1956,69.0,176,Netherlands
patrick-schoovaerts,Patrick  Schoovaerts,1964,75.0,178,Belgium
gregor-braun,Gregor  Braun,1955,61.0,168,Germany
max-poole,Max  Poole,2003,78.0,185,Great Britain
stefano-zanatta,Stefano  Zanatta,1964,78.0,193,Italy
john-carlsen,John  Carlsen,1961,65.0,177,Denmark
brian-van-goethem,Brian van Goethem,1991,77.0,186,Netherlands
maurizio-piovani,Maurizio  Piovani,1959,68.0,185,Italy
nils-eekhoff,Nils  Eekhoff,1998,75.0,192,Netherlands
benedetto-patellaro,Benedetto  Patellaro,1960,75.0,184,Italy
ivan-velasco,Iván  Velasco,1980,65.0,177,Spain
michelangelo-cauz,Michelangelo  Cauz,1970,54.0,169,Italy
hans-dekkers-1,Hans  Dekkers,1981,72.0,172,Netherlands
francisco-caro,Francisco  Caro,1947,64.0,175,Spain
benjamin-brooks,Benjamin  Brooks,1979,69.0,179,Australia
fabio-casartelli,Fabio  Casartelli,1970,74.0,180,Italy
patrick-cocquyt,Patrick  Cocquyt,1960,71.0,184,Belgium
jean-claude-colotti,Jean-Claude  Colotti,1961,60.0,176,France
justin-spinelli,Justin  Spinelli,1979,67.0,180,United States
erik-lievens,Erik  Lievens,1979,66.0,178,Belgium
meiyin-wang,Meiyin  Wang,1988,70.0,182,China
christopher-baldwin,Christopher  Baldwin,1975,78.0,186,United States
unai-osa,Unai  Osa,1975,65.0,178,Spain
matthias-reutimann,Matthias  Reutimann,1994,71.0,185,Switzerland
mariano-piccoli,Mariano  Piccoli,1970,64.0,173,Italy
dylan-groenewegen,Dylan  Groenewegen,1993,70.0,177,Netherlands
ludo-loos,Ludo  Loos,1955,61.0,177,Belgium
vladimir-smirnov,Vladimir  Smirnov,1978,70.0,179,Lithuania
regis-simon,Régis  Simon,1958,60.0,170,France
andrzej-mierzejewski,Andrzej  Mierzejewski,1960,68.0,173,Poland
david-boily,David  Boily,1990,60.0,180,Canada
luca-rota,Luca  Rota,1963,64.0,167,Italy
gianluca-valoti,Gianluca  Valoti,1973,69.0,183,Italy
alberto-della-torre,Alberto Della Torre,1945,62.0,173,Italy
inigo-chaurreau-bernardez,Íñigo  Chaurreau,1973,60.0,172,Spain
dirk-de-wolf,Dirk De Wolf,1961,74.0,180,Belgium
henrique-casimiro,Henrique  Casimiro,1986,62.0,175,Portugal
jose-manuel-vazquez,José Manuel  Vázquez,1975,65.0,178,Spain
hubert-linard,Hubert  Linard,1953,58.0,175,France
ennio-vanotti,Ennio  Vanotti,1955,78.0,192,Italy
derek-harrison,Derek  Harrison,1944,73.0,173,Great Britain
oleksandr-fedenko,Oleksandr  Fedenko,1970,69.0,180,Ukraine
antonio-sampedro,Antonio  Sampedro,1965,75.0,182,Spain
greg-saunders,Greg  Saunders,1959,77.0,187,United States
giacomo-battistel,Giacomo  Battistel,1976,65.0,186,Italy
carlo-westphal,Carlo  Westphal,1985,75.0,181,Germany
sebastien-flicher,Sébastien  Flicher,1968,63.0,178,France
enrico-battaglin,Enrico  Battaglin,1989,64.0,175,Italy
herman-loayza,Herman  Loayza,1956,69.0,180,Colombia
jose-jaime-gonzalez,José Jaime  González,1968,64.0,176,Colombia
georg-preidler,Georg  Preidler,1990,68.0,190,Austria
kevin-neirynck-1,Kevin  Neirynck,1982,71.0,183,Belgium
stephen-roche,Stephen  Roche,1959,74.0,175,Ireland
daniel-schorn,Daniel  Schorn,1988,72.0,183,Austria
stefano-giuliani,Stefano  Giuliani,1958,70.0,190,Italy
aurelien-clerc,Aurélien  Clerc,1979,71.0,176,Switzerland
pedro-munoz-machin,Pedro  Muñoz,1958,62.0,171,Spain
cees-zoontjes,Cees  Zoontjens,1944,70.0,190,Netherlands
victor-cabedo,Víctor  Cabedo,1989,77.0,190,Spain
david-navas,David  Navas,1974,78.0,182,Spain
wayne-hildred,Wayne  Hildred,1955,79.5,190,Australia
alexei-markov,Alexei  Markov,1979,80.0,181,Russia
patrick-deneut,Patrick  Deneut,1960,72.0,185,Belgium
gilbert-duclos-lassalle,Gilbert  Duclos-Lassalle,1954,73.0,180,France
bert-van-lerberghe,Bert Van Lerberghe,1992,83.0,190,Belgium
antonio-cruz-1,Antonio  Cruz,1971,66.0,176,United States
carlos-salgueiro,Carlos Miguel  Salgueiro,1999,68.0,183,Portugal
jean-paul-le-bris,Jean-paul Le Bris,1958,69.0,185,France
julien-fouchard,Julien  Fouchard,1986,74.0,187,France
david-lopez,David  López,1981,68.0,179,Spain
cesar-martingil,César  Martingil,1995,67.0,172,Portugal
lars-van-der-haar,Lars van der Haar,1991,58.0,169,Netherlands
luis-balague,Luis  Balagué,1944,67.0,183,Spain
argemiro-bohorquez,Argemiro  Bohórquez,1960,61.0,173,Colombia
jesus-lopez23,Jesús  López,1955,68.0,175,Spain
steven-lammertink,Steven  Lammertink,1993,68.0,176,Netherlands
daniel-moreno,Daniel  Moreno,1981,59.0,173,Spain
nelson-soto,Nelson Andrés  Soto,1994,66.0,178,Colombia
franky-de-buyst,Franky De Buyst,1967,62.0,177,Belgium
franck-morelle,Franck  Morelle,1964,61.0,175,France
felix-manuel-garcia-casas,Felix Manuel  García Casas,1968,63.0,177,Spain
jaime-martin,Jaime  Martín,1955,64.0,189,Spain
jos-spruyt,Jos  Spruyt,1943,60.0,168,Belgium
karel-hnik,Karel  Hník,1991,57.0,173,Czech Republic
bartosz-huzarski,Bartosz  Huzarski,1980,69.0,183,Poland
sven-nevens,Sven  Nevens,1983,67.0,188,Belgium
oleg-berdos,Oleg  Berdos,1987,68.0,175,Romania
felix-gonzalez,Félix  González,1945,70.0,182,Spain
alberto-fernandez-sainz,Alberto  Fernández,1981,78.0,186,Spain
rui-oliveira,Rui  Oliveira,1996,66.0,183,Portugal
bernd-grone,Bernd  Gröne,1963,65.0,174,Germany
antonio-miguel,Antonio Miguel  Diaz,1968,64.0,176,Spain
ronny-vanmarcke,Ronny  Vanmarcke,1947,78.0,190,Belgium
louis-vervaeke,Louis  Vervaeke,1993,68.0,181,Belgium
dariusz-zakrzewski,Dariusz  Zakrzewski,1961,65.0,170,Poland
marco-maronese,Marco  Maronese,1994,63.0,177,Italy
romain-hardy,Romain  Hardy,1988,62.0,172,France
jordi-fortia-marti,Jordi  Fortià,1955,74.0,183,Spain
brice-feillu,Brice  Feillu,1985,69.0,190,France
roger-adria,Roger  Adrià,1998,64.0,179,Spain
amir-zargari,Amir  Zargari,1980,62.0,176,Iran
christian-mager,Christian  Mager,1992,60.0,172,Germany
matej-mohoric,Matej  Mohorič,1994,72.0,186,Slovenia
viatcheslav-djavanian,Viatcheslav  Djavanian,1969,64.0,176,Russia
frederik-willems,Frederik  Willems,1979,67.0,182,Belgium
sauro-gallorini,Sauro  Gallorini,1971,75.0,190,Italy
deno-davie,Deno  Davie,1965,77.0,184,Great Britain
luke-plapp,Luke  Plapp,2000,72.0,181,Australia
rolf-aldag,Rolf  Aldag,1968,75.0,191,Germany
inigo-cuesta,Iñigo  Cuesta,1969,62.0,176,Spain
edward-fabian-diaz,Edward Fabián  Díaz,1994,68.0,173,Colombia
hubert-hutsebaut,Hubert  Hutsebaut,1947,55.0,166,Belgium
joao-almeida,João  Almeida,1998,63.0,178,Portugal
david-delrieu,David  Delrieu,1971,69.0,173,France
francesco-masi,Francesco  Masi,1957,73.0,184,Italy
frederic-delalande,Frederic  Delalande,1969,59.0,183,France
michal-kwiatkowski,Michał  Kwiatkowski,1990,68.0,176,Poland
siarhei-papok,Siarhei  Papok,1988,76.0,177,Belarus
volodymyr-zagorodny,Vladimir  Zagorodnii,1981,63.0,178,Russia
oscar-garcia-casarrubios,Óscar  García-Casarrubios,1984,75.0,184,Spain
alvaro-trueba,Alvaro  Trueba,1993,65.0,181,Spain
hector-saez,Héctor  Sáez,1993,75.0,185,Spain
davide-appollonio,Davide  Appollonio,1989,67.0,170,Italy
joao-da-silva-correia,João  Correia,1975,64.0,174,Portugal
piero-spinelli,Piero  Spinelli,1948,61.0,174,Italy
franky-de-gendt,Franky De Gendt,1952,65.0,182,Belgium
erik-fetter,Erik  Fetter,2000,70.0,188,Hungary
angel-luis-casero,Ángel Luis  Casero,1972,72.0,184,Spain
arthur-kluckers,Arthur  Kluckers,2000,71.0,192,Luxembourg
florian-maitre,Florian  Maitre,1996,71.0,180,France
christian-knees,Christian  Knees,1981,81.0,194,Germany
michal-precechtel,Michal  Přecechtěl,1977,80.0,187,Czech Republic
jimmy-delbove,Jimmy  Delbove,1968,70.0,183,France
evgeny-sokolov,Evgeny  Sokolov,1984,70.0,180,Russia
raimondas-vilcinskas,Raimondas  Vilčinskas,1977,70.0,176,Lithuania
johan-le-bon,Johan Le Bon,1990,70.0,180,France
martin-schalkers,Martin  Schalkers,1962,60.0,176,Netherlands
theo-akkermans,Theo  Akkermans,1966,67.0,178,Netherlands
roberto-dal-sie,Roberto Dal Sie,1969,74.0,184,Italy
cedric-pineau,Cédric  Pineau,1985,68.0,177,France
linus-gerdemann,Linus  Gerdemann,1982,71.0,183,Germany
alexandre-naulleau,Alexandre  Naulleau,1981,72.0,182,France
max-walscheid,Max  Walscheid,1993,73.0,187,Germany
gilles-de-wilde,Gilles De Wilde,1999,75.0,183,Belgium
luis-pedro-santamarina,Luis-Pedro  Santamarina,1942,67.0,183,Spain
gregory-rast,Grégory  Rast,1980,80.0,186,Switzerland
stefan-rutimann,Stefan  Rütimann,1978,70.0,181,Switzerland
sylvain-chavanel,Sylvain  Chavanel,1979,73.0,181,France
jos-van-der-vleuten,Jos van der Vleuten,1943,60.0,172,Netherlands
ivan-alemany,Iván  Alemany,1967,76.0,185,Spain
adri-jos-schipper,Adri Jos  Schipper,1951,62.0,183,Netherlands
daniel-aeschlimann,Daniel  Aeschlimann,1974,77.0,184,Switzerland
stefano-cattai,Stefano  Cattai,1967,65.0,170,Italy
luis-fernando-mosquera,Luis Fernando  Mosquera,1962,73.0,179,Colombia
alessandro-paganessi,Alessandro  Paganessi,1959,64.0,174,Italy
juan-manuel-garate,Juan Manuel  Garate,1976,62.0,174,Spain
pirmin-lang,Pirmin  Lang,1984,73.0,183,Switzerland
dariusz-baranowski,Dariusz  Baranowski,1972,68.0,183,Poland
jos-van-beers,Jos van Beers,1948,58.0,169,Netherlands
stefan-brykt,Stefan  Brykt,1964,71.0,180,Sweden
guy-santy,Guy  Santy,1950,68.0,178,France
oleg-polovnikov,Oleg  Polovnikov,1969,60.0,173,Russia
marc-de-block,Marc De Block,1945,78.0,182,Belgium
charles-rouxel,Charly  Rouxel,1948,70.0,180,France
mitchell-docker,Mitchell  Docker,1986,73.0,180,Australia
valeriy-dmitriyev,Valeriy  Dmitriyev,1984,69.0,175,Kazakhstan
cian-uijtdebroeks,Cian  Uijtdebroeks,2003,68.0,185,Belgium
filippo-colombo1,Filippo  Colombo,1997,73.0,184,Switzerland
laurent-pichon,Laurent  Pichon,1986,69.0,178,France
jonathan-lastra,Jonathan  Lastra,1993,64.0,172,Spain
jean-louis-peillon,Jean-louis  Peillon,1961,60.0,165,France
benoit-jarrier,Benoît  Jarrier,1989,69.0,179,France
ivan-ramiro-parra,Iván Ramiro  Parra,1975,62.0,174,Colombia
jose-recio,José  Recio,1957,76.0,185,Spain
jon-unzaga,Jon  Unzaga,1962,65.0,180,Spain
ceriel-desal,Ceriel  Desal,1999,76.0,190,Belgium
andy-cappelle,Andy  Cappelle,1979,71.0,182,Belgium
luca-wackermann,Luca  Wackermann,1992,68.0,188,Italy
rafael-elvas-barbas,Rafael  Barbas,2004,67.0,189,Portugal
bart-voskamp,Bart  Voskamp,1968,75.0,190,Netherlands
adolfo-garcia-quesada,Adolfo  García Quesada,1979,69.0,185,Spain
nicolai-kosyakov,Nicolai  Kosyakov,1964,58.0,175,Russia
jose-ignacio-cano,José Ignacio  Cano,1965,72.0,172,Spain
branislau-samoilau,Branislau  Samoilau,1985,77.0,188,Belarus
benjamin-declercq,Benjamin  Declercq,1994,67.0,182,Belgium
torsten-schmidt,Torsten  Schmidt,1972,73.0,179,Germany
mauro-gerosa,Mauro  Gerosa,1974,72.0,181,Italy
sebastien-rosseler,Sébastien  Rosseler,1981,78.0,182,Belgium
fabio-andres-duarte,Fabio  Duarte,1986,55.0,166,Colombia
pedro-miguel-lopes-goncalves,Pedro  Goncalves,1975,65.0,179,Portugal
michael-wright,Michael  Wright,1941,64.0,176,Great Britain
tadej-valjavec,Tadej  Valjavec,1977,59.0,171,Slovenia
patrick-pevenage,Patrick  Pevenage,1956,61.0,173,Belgium
oscar-cabedo,Óscar  Cabedo,1994,53.0,174,Spain
louis-verhelst,Louis  Verhelst,1990,71.0,182,Belgium
jens-keukeleire,Jens  Keukeleire,1988,69.0,185,Belgium
cyril-barthe,Cyril  Barthe,1996,70.0,184,France
pierre-ackermann,Pierre  Ackermann,1972,71.0,192,Switzerland
philippe-van-vooren,Philippe Van Vooren,1962,72.0,181,Belgium
sander-helven,Sander  Helven,1990,74.0,197,Belgium
dirk-clarysse,Dirk  Clarysse,1964,78.0,182,Belgium
ricardo-alejandro-zurita,Ricardo Alejandro  Zurita,2000,62.0,170,Spain
luc-wallays,Luc  Wallays,1961,74.0,185,Belgium
reinier-honig,Reinier  Honig,1983,61.0,176,Netherlands
josef-cerny,Josef  Černý,1993,75.0,188,Czech Republic
cameron-wurf,Cameron  Wurf,1983,71.0,171,Australia
luis-perez-rodriguez,Luis  Pérez Rodríguez,1974,67.0,180,Spain
franco-pellizotti,Franco  Pellizotti,1978,64.0,175,Italy
daryl-impey,Daryl  Impey,1984,72.0,181,South Africa
benjamin-day,Benjamin  Day,1978,68.0,178,Australia
goncalo-amorim,Gonçalo  Amorim,1972,67.0,177,Portugal
venceslau-fernandes,Venceslau  Fernandes,1996,73.0,181,Portugal
nico-sijmens,Nico  Sijmens,1978,69.0,175,Belgium
sandy-dujardin,Sandy  Dujardin,1997,68.0,178,France
loic-vliegen,Loïc  Vliegen,1993,70.0,184,Belgium
antonio-espejo,Antonio  Espejo,1968,69.0,179,Spain
oliver-rees,Oliver  Rees,2001,82.0,184,Great Britain
michele-bartoli,Michele  Bartoli,1970,65.0,179,Italy
paul-lapeira,Paul  Lapeira,2000,64.0,176,France
simone-petilli,Simone  Petilli,1993,65.0,178,Italy
lizuarte-martins,Lizuarte Manuel Gonçalves  Martins,1978,55.0,170,Portugal
jules-dubois,Jules  Dubois,1958,76.0,176,Belgium
gilles-bouvard,Gilles  Bouvard,1969,70.0,180,France
george-mount,George  Mount,1955,66.0,178,United States
matthew-brammeier,Matt  Brammeier,1985,72.0,181,Ireland
nicolas-prodhomme,Nicolas  Prodhomme,1997,62.0,174,France
guillermo-arenas,Guillermo  Arenas,1963,64.0,186,Spain
patrice-esnault,Patrice  Esnault,1961,68.0,176,France
silvan-dillier,Silvan  Dillier,1990,75.0,183,Switzerland
jose-manuel-lopez-rodriguez,José Manuel  López Rodríguez,1940,68.0,173,Spain
stefano-usai,Stefano  Usai,1982,69.0,182,Italy
tao-geoghegan-hart,Tao  Geoghegan Hart,1995,65.0,183,Great Britain
eduard-vorganov,Eduard  Vorganov,1982,65.0,177,Russia
jose-manuel-garcia-114,José Manuel  Garcia,1968,67.0,181,Spain
david-derepas,David  Derepas,1978,69.0,180,France
mario-moermans,Mario  Moermans,1969,68.0,173,Belgium
marcel-sieberg,Marcel  Sieberg,1982,80.0,186,Germany
jose-antonio-de-segovia,José Antonio de Segovia,1982,75.0,187,Spain
karel-rottiers,Karel  Rottiers,1953,69.0,174,Belgium
andrea-ferrigato,Andrea  Ferrigato,1969,68.0,184,Italy
segundo-leopoldo-chaparro,Segundo Leopoldo  Chaparro,1963,65.0,179,Colombia
sergio-samitier,Sergio  Samitier,1995,63.0,181,Spain
joona-laukka,Joona  Laukka,1972,78.0,191,Finland
kevin-deltombe,Kevin  Deltombe,1994,66.0,178,Belgium
rudy-colman,Rudy  Colman,1956,75.0,184,Belgium
piotr-brozyna,Piotr  Brożyna,1995,71.0,192,Poland
steven-van-vooren,Steven van Vooren,1986,75.0,179,Belgium
piet-hoekstra,Piet  Hoekstra,1947,77.0,186,Netherlands
john-tanner,John  Tanner,1968,70.0,178,Great Britain
francisco-javier-iriarte-garro,Francisco Javier  Iriarte,1986,68.0,180,Spain
piet-van-katwijk,Piet van Katwijk,1949,70.0,181,Netherlands
constantino-zaballa,Constantino  Zaballa,1978,66.0,175,Spain
marcel-summermatter,Marcel  Summermatter,1956,63.0,174,Switzerland
kirk-o-bee,Kirk  O'Bee,1977,69.0,185,United States
daniele-de-paoli,Daniele De Paoli,1973,60.0,165,Italy
andre-poppe,André  Poppe,1943,68.0,173,Belgium
jean-eudes-demaret,Jean-Eudes  Demaret,1984,66.0,179,France
luigi-furlan,Luigi  Furlan,1963,62.0,173,Italy
alberto-elli,Alberto  Elli,1964,71.0,182,Italy
gianpaolo-cucchietti,Gianpaolo  Cucchietti,1942,74.0,184,Italy
carlo-scognamiglio,Carlo  Scognamiglio,1983,67.0,179,Italy
jonas-ahlstrand,Jonas  Ahlstrand,1990,72.0,177,Sweden
edy-schutz,Edy  Schutz,1941,72.0,176,Luxembourg
cristian-pepoli,Cristian  Pepoli,1978,70.0,185,Italy
iker-flores-galarza,Iker  Flores,1976,74.0,186,Spain
fulvio-frigo,Fulvio  Frigo,1973,57.0,174,Italy
agustin-alonso,Agustin  Alonso,1980,67.0,170,Spain
david-lefevre,David  Lefevre,1972,66.0,175,France
jiri-skoda,Jiří  Škoda,1956,75.0,180,Czech Republic
michel-kreder,Michel  Kreder,1987,67.0,180,Netherlands
unai-uribarri,Unai  Uribarri,1984,62.0,177,Spain
marco-mathis,Marco  Mathis,1994,71.0,186,Germany
juan-ramon,Juan Ramón  Martin,1963,70.0,190,Spain
bernard-bourguignon,Bernard  Bourguignon,1949,67.0,180,Belgium
jeroen-meijers,Jeroen  Meijers,1993,68.0,181,Netherlands
lucas-sebastian-haedo,Lucas Sebastián  Haedo,1983,64.0,173,Argentina
samuele-marzoli,Samuele  Marzoli,1984,72.0,183,Italy
frederic-brun,Frédéric  Brun,1957,63.0,173,France
andrea-patuelli,Andrea  Patuelli,1970,65.0,170,Italy
erik-baska,Erik  Baška,1994,74.0,182,Slovakia
anthony-geslin,Anthony  Geslin,1980,68.0,180,France
michiel-elijzen,Michiel  Elijzen,1982,80.0,192,Netherlands
alberto-camargo,Luis Alberto  Camargo,1965,72.0,183,Colombia
hector-gonzalez-baeza,Hector  Gonzalez,1986,68.0,183,Spain
elias-maris,Elias  Maris,1999,65.0,178,Belgium
antoine-debons,Antoine  Debons,1998,65.0,180,Switzerland
patrick-hermans,Patrick  Hermans,1958,70.0,172,Belgium
ruber-alverio-marin,Ruber Alveiro  Marín,1968,55.0,166,Colombia
fabio-testi,Fabio  Testi,1976,77.0,188,Italy
alberto-saronni,Alberto  Saronni,1961,61.0,182,Italy
tom-van-asbroeck,Tom Van Asbroeck,1990,72.0,182,Belgium
inaki-arrieta,Iñaki  Arrieta,1961,77.0,183,Spain
yevgeniy-fedorov,Yevgeniy  Fedorov,2000,80.0,193,Kazakhstan
gianluca-brambilla,Gianluca  Brambilla,1987,57.0,170,Italy
stefan-de-bod,Stefan de Bod,1996,66.0,183,South Africa
simon-guglielmi,Simon  Guglielmi,1997,66.0,180,France
nils-brun,Nils  Brun,2000,64.0,176,Switzerland
johan-dekkers,Johan  Dekkers,1978,69.0,183,Belgium
edward-ravasi,Edward  Ravasi,1994,61.0,181,Italy
pascal-kohlvelter,Pascal  Kohlvelter,1965,67.0,175,Luxembourg
thierry-marichal,Thierry  Marichal,1973,72.0,179,Belgium
darren-baker,Darren  Baker,1967,72.0,181,United States
bernard-thevenet,Bernard  Thévenet,1948,64.0,171,France
russell-downing,Russell  Downing,1978,64.0,171,Great Britain
jokin-murguialday-elorza,Jokin  Murguialday,2000,57.0,173,Spain
martin-mortensen,Martin  Mortensen,1984,70.0,180,Denmark
sven-renders,Sven  Renders,1981,63.0,176,Belgium
kaspars-ozers,Kaspars  Ozers,1968,73.0,185,Latvia
robert-dill-bundi,Robert  Dill-Bundi,1958,65.0,181,Switzerland
massimiliano-mori,Massimiliano  Mori,1974,77.0,174,Italy
luis-diego-prior,Luis Diego  Prior,1975,68.0,180,Spain
benny-schepmans,Benny  Schepmans,1953,70.0,181,Belgium
michel-stasse,Michel  Stasse,1967,71.0,184,Belgium
harrie-jansen,Harrie  Jansen,1947,70.0,176,Netherlands
lorenzo-di-silvestro,Lorenzo Di Silvestro,1970,67.0,178,Italy
rui-vinhas,Rui  Vinhas,1986,59.0,171,Portugal
johan-de-lathouwer,Johan De Lathouwer,1960,63.0,175,Belgium
juan-caldentey,Juan  Caldentey,1962,65.0,180,Spain
federico-echave,Federico  Echave,1960,60.0,181,Spain
thomas-bodo,Thomas  Bodo,1980,81.0,188,France
fabio-taborre,Fabio  Taborre,1985,66.0,178,Italy
iuri-filosi,Iuri  Filosi,1992,70.0,184,Italy
xavier-jan,Xavier  Jan,1970,62.0,174,France
gang-xu,Gang  Xu,1984,69.0,187,China
thomas-boudat,Thomas  Boudat,1994,70.0,175,France
dave-bruylandts,Dave  Bruylandts,1976,63.0,178,Belgium
alphonse-vermote,Alphonse  Vermote,1990,74.0,187,Belgium
marc-wauters,Marc  Wauters,1969,73.0,185,Belgium
alois-wouters,Alois  Wouters,1962,75.0,182,Belgium
alberto-dainese,Alberto  Dainese,1998,70.0,174,Italy
alexandre-chouffe,Alexandre  Chouffe,1974,75.0,181,France
tarik-chaoufi,Tarik  Chaoufi,1986,65.0,174,Morocco
alfio-vandi,Alfio  Vandi,1955,64.0,178,Italy
albert-hulzebosch,Albert  Hulzebosch,1949,64.0,176,Netherlands
gary-dowdell,Gary  Dowdell,1959,62.0,180,Great Britain
javier-palacin-salgao,Javier  Palacín,1971,72.0,185,Spain
maurizio-caravaggio,Maurizio  Caravaggio,1976,72.0,178,Italy
manuel-fernandez-gines,Manuel  Fernández Ginés,1971,73.0,183,Spain
gianfranco-bianchin,Gianfranco  Bianchin,1947,59.0,173,Italy
mirko-gualdi,Mirko  Gualdi,1968,68.0,172,Italy
stefan-bissegger,Stefan  Bissegger,1998,78.0,181,Switzerland
david-zabriskie,David  Zabriskie,1979,67.0,183,United States
jeanluc-garnier,Jean-luc  Garnier,1961,62.0,172,France
uwe-hardter,Uwe  Hardter,1977,58.0,170,Germany
alvaro-forner,Álvaro  Forner,1972,68.0,178,Spain
richard-groenendaal,Richard  Groenendaal,1971,66.0,176,Netherlands
jasper-philipsen,Jasper  Philipsen,1998,75.0,176,Belgium
jose-casas-garcia,José  Casas,1945,68.0,176,Spain
javier-ruiz-de-larrinaga-ibanez,Javier  Ruiz de Larrinaga,1979,78.0,191,Spain
joan-horrach,Joan Sebastian  Horrach,1974,70.0,179,Spain
kristof-de-zutter,Kristof De Zutter,1982,74.0,178,Belgium
julen-fernandez,Julen  Fernandez,1978,61.0,177,Spain
vegard-stake-laengen,Vegard Stake  Laengen,1989,79.0,195,Norway
liam-slock,Liam  Slock,2000,78.0,188,Belgium
