_url,name,birth_year,weight,height,nationality
willy-in-t-ven,Willy In 't Ven,1943,63.0,181,Belgium
dmitry-nelyubin,Dmitry  Nelyubin,1971,74.0,183,Russia
sebastian-schonberger,Sebastian  Schönberger,1994,64.0,181,Austria
ennio-salvador,Ennio  Salvador,1960,63.0,172,Italy
pierrick-fedrigo,Pierrick  Fédrigo,1978,66.0,172,France
valerio-tebaldi,Valerio  Tebaldi,1965,67.0,187,Italy
marlon-alirio-perez-arango,Marlon Alirio  Pérez,1976,68.0,175,Colombia
giampaolo-cheula,Giampaolo  Cheula,1979,62.0,178,Italy
angel-madrazo,Ángel  Madrazo,1988,61.0,171,Spain
antonio-tiberi,Antonio  Tiberi,2001,62.0,182,Italy
vincent-lavenu,Vincent  Lavenu,1956,65.0,181,France
jacky-coene,Jacky  Coene,1946,70.0,181,Belgium
gorazd-stangelj,Gorazd  Štangelj,1973,70.0,182,Slovenia
theo-verschueren,Théo  Verschueren,1943,64.0,177,Belgium
arvis-piziks,Arvis  Piziks,1969,70.0,176,Latvia
markus-eichler,Markus  Eichler,1982,78.0,185,Germany
torsten-hiekmann,Torsten  Hiekmann,1980,70.0,183,Germany
jelle-vanendert,Jelle  Vanendert,1985,62.0,184,Belgium
sven-vandousselaere,Sven  Vandousselaere,1988,71.0,181,Belgium
jean-pierre-berckmans,Jean-Pierre  Berckmans,1948,67.0,174,Belgium
pierino-primavera,Pierino  Primavera,1945,64.0,171,Italy
cristian-zanolini,Cristian  Zanolini,1968,57.0,168,Italy
maurizio-fondriest,Maurizio  Fondriest,1965,70.0,182,Italy
iban-sastre-estevez,Iban  Sastre,1977,68.0,173,Spain
fausto-dotti,Fausto  Dotti,1968,63.0,183,Italy
fabio-sacchi,Fabio  Sacchi,1974,68.0,183,Italy
pascal-eenkhoorn,Pascal  Eenkhoorn,1997,70.0,185,Netherlands
jean-zen,Jean  Zen,1981,65.0,179,France
john-van-asten,John Van Asten,1960,57.0,169,Netherlands
stefan-schumacher,Stefan  Schumacher,1981,71.0,183,Germany
mauro-simonetti,Mauro  Simonetti,1948,64.0,174,Italy
chris-wherry,Chris  Wherry,1973,73.0,187,United States
eladio-ambite,Eladio  Ambite,1970,79.0,180,Spain
daniele-pietropolli,Daniele  Pietropolli,1980,61.0,174,Italy
christian-meier,Christian  Meier,1985,61.0,172,Canada
davis-phinney,Davis  Phinney,1959,72.0,183,United States
stefano-della-santa,Stefano Della Santa,1967,73.0,184,Italy
dietrich-thurau,Dietrich  Thurau,1954,72.0,179,Germany
arnaud-gerard,Arnaud  Gérard,1984,70.0,184,France
christophe-lavainne,Christophe  Lavainne,1963,55.0,171,France
gonzalo-rabunal-rios,Gonzalo  Rabuñal,1984,65.0,180,Spain
thomas-bonnet,Thomas  Bonnet,1998,70.0,175,France
jean-jacques-philipp,Jean-Jacques  Philipp,1961,66.0,178,France
nico-verhoeven,Nico  Verhoeven,1961,70.0,182,Netherlands
laurent-chotard,Laurent  Chotard,1976,67.0,178,France
frederic-garnier,Frédéric  Garnier,1964,76.0,183,France
isaac-canton,Isaac  Cantón,1996,65.0,180,Spain
alain-vasseur,Alain  Vasseur,1948,67.0,175,France
jean-pierre-monsere,Jean-Pierre  Monseré,1948,66.0,178,Belgium
steven-caethoven,Steven  Caethoven,1981,67.0,176,Belgium
jose-maria-jimenez,José María  Jiménez,1971,70.0,187,Spain
mattia-cattaneo,Mattia  Cattaneo,1990,67.0,184,Italy
james-knox,James  Knox,1995,58.0,173,Great Britain
geert-malfait,Geert  Malfait,1953,75.0,183,Belgium
david-gaudu,David  Gaudu,1996,53.0,172,France
michele-laddomada,Michele  Laddomada,1972,69.0,183,Italy
bjarne-riis,Bjarne  Riis,1964,71.0,184,Denmark
jose-alberto-benitez-roman,José Alberto  Benítez,1981,66.0,180,Spain
patrick-busolini2,Patrick  Busolini,1954,72.0,187,France
roberto-sgambelluri,Roberto  Sgambelluri,1974,63.0,175,Italy
benno-wiss,Benno  Wiss,1962,64.0,176,Switzerland
michal-hrazdira,Michal  Hrazdira,1977,77.0,189,Czech Republic
robert-hunter,Robert  Hunter,1977,72.0,178,South Africa
raffaello-bonusi,Raffaello  Bonusi,1992,73.0,179,Italy
harald-morscher,Harald  Morscher,1972,76.0,185,Austria
